	TFAs Ave.(E)	TFAs Ave.(NE)	TTS	p_val	FDR	negLog10_FDR
BMI1	-0.2838657014361612	0.16825031451075156	-3.5570515012585693	0.0004714450740233141	0.0013255428762897665	2.877606219922673
PIAS4	-0.46250190907950617	-0.010666842231665077	-3.5740484496907654	0.00045811745910544053	0.0012997269088647564	2.886147889564088
NKX2-2	-0.22880950115936546	-0.05888010858598331	-3.578146206303141	0.00040821227507822303	0.0011687173354979262	2.9322905140541815
THRB	-0.3013235251009144	0.296706255230667	-3.618514436631348	0.00035467956111114116	0.001029555948225396	2.987350047933422
SREBF2	-0.1265349046158323	-0.013886774704619938	-3.621547522389002	0.00036510090222729394	0.0010549228833940706	2.9767792868501974
NR0B1	-0.09739968765148409	0.0695776888870903	-3.631839023911542	0.00033417961155856295	0.0009745610067312511	3.011190969211886
STAT5	-0.7647249522358452	-0.2447922453692336	-3.654354541501984	0.00030978549998935144	0.0009119037957433021	3.0400509765637462
ESR1	-0.148861851985674	-0.06830256044322607	-3.7604031944242657	0.00021262860050899583	0.0006378858015269875	3.1952570645482496
FOXE1	-0.7469335512597237	0.06730432999392934	-3.836903741444581	0.00015905339310516686	0.0004936954330541566	3.306540890217278
HOXA1	-0.5392488853870363	-0.05561647940159952	-3.844187163571758	0.00017455301815285664	0.0005364938352051035	3.2704352641021086
STAT4	-0.03799671444128149	0.21626205915337252	-3.862455879841672	0.0001470203511142326	0.00045861572213245686	3.33855106099219
NRF1	-0.11759149467764023	0.08121819323894244	-3.8625896040715912	0.0001430502549143835	0.00044900064246255594	3.347753037576313
MTF1	-0.138575343655805	0.07030885269959125	-3.894187539066673	0.00012512284348132596	0.00039823361859284964	3.3998620799362578
ELF2	-0.29353863052198537	-0.06445462843532093	-3.9198894193535856	0.0001199810903394173	0.0003857853520144341	3.4136542662205747
JUNB	-0.20828254859969358	-0.01895787038610651	-3.9577735687066093	0.00010022036838228189	0.0003255863781123873	3.487333773421585
GLI3	-0.46884772294425076	-0.25055446591031516	-3.9805992230171983	9.134052120951162e-05	0.0002995106806806328	3.5235876858691464
PPARD	-0.10674894403714234	0.11211555004293029	-3.997963233601041	8.372661183697472e-05	0.0002777597122845669	3.556330746364236
PPARA	-0.13704669961712423	0.004274215607395824	-4.0277054827495915	7.238858548897439e-05	0.00024142363351907948	3.6172202180641504
HDAC3	-0.23785187554417875	-0.023262550725003543	-4.1051693245196015	5.391013513118629e-05	0.00018271164717434488	3.7382337671394135
RNF14	-1.478886275423605	-0.4371457466386787	-4.112421971561741	6.1011130134725643e-05	0.00020566655158318805	3.6868363337016574
FOXP2	-0.2613227180990448	0.04821881916928228	-4.157852238933777	4.446361994576509e-05	0.00015245884261148892	3.816847381492077
GTF2I	-0.4656367535920921	-0.11197658466826445	-4.1991094756553595	3.895243528475418e-05	0.00013568431624189374	3.867470349563912
ELF4	-0.2646879306615739	0.2276075457913515	-4.20934229060376	3.5469737117489404e-05	0.00012424315738919473	3.9057275204211535
IRF4	-0.2811042042633058	-0.06401081211740557	-4.232286379392659	3.199783879025323e-05	0.00011334827639259196	3.945585079497566
EGR2	-0.5574182499693914	-0.17986005230675584	-4.288086414505438	2.541289149839519e-05	9.053342596303287e-05	4.043191044760534
ID2	-0.38571845277448535	-0.09810319462862647	-4.314374955424549	2.3542506908998798e-05	8.434943903966998e-05	4.073917801311797
FOXI1	-0.17246025599468176	0.0823758463606457	-4.331309329843718	2.0346801274812473e-05	7.37424531751874e-05	4.132282418903409
PER2	-0.5587696649385215	0.01128570630798422	-4.340641978423816	1.935755880886573e-05	7.139523160681656e-05	4.146330793209841
SUZ12	-0.5587696649385215	0.01128570630798422	-4.340641978423816	1.935755880886573e-05	7.139523160681656e-05	4.146330793209841
RBBP7	-0.5326561119040839	0.08656018878155676	-4.347671532727594	1.9186573558856912e-05	7.139523160681656e-05	4.146330793209841
TCF12	-0.5326561119040839	0.08656018878155676	-4.347671532727594	1.9186573558856912e-05	7.139523160681656e-05	4.146330793209841
ZNF217	-0.5326561119040839	0.08656018878155676	-4.347671532727594	1.9186573558856912e-05	7.139523160681656e-05	4.146330793209841
JUND	-0.15165337669079357	0.03299809974193321	-4.385038693386151	2.2012006181308004e-05	7.931912572229953e-05	4.100622081356215
STAT5A	-0.2899848052909205	-0.06395817627980152	-4.4073407181518265	1.583434424240293e-05	6.090879656433519e-05	4.215319981201776
HOXB7	-0.39876818432309535	-0.1248737615598753	-4.46287086052737	1.3195626063902304e-05	5.1389177279917666e-05	4.289128335139346
FOXL2	-0.38548040142613127	-0.013762659462308981	-4.482778530100959	1.1818252745255307e-05	4.6899015640981504e-05	4.3288362725552005
DENND4A	-0.48122692124222216	-0.007649149065268779	-4.48848758038925	1.2414443552036171e-05	4.895506985614264e-05	4.31020232538216
NR2F1	-0.07191340429751567	0.14833897118306516	-4.502783158799475	9.78062966791391e-06	4.034509738014488e-05	4.394209231948371
NFIL3	-0.7672191262710772	-0.1117095387224799	-4.545854307251407	8.827369598840504e-06	3.714604522465098e-05	4.430087416857304
RAD51	-0.384367885171703	-0.10625445714012426	-4.551096135139493	8.352715973601999e-06	3.538616834762469e-05	4.451166460690355
SMURF2	-0.7021433525405646	-0.11124758900606342	-4.593731832678924	6.75044945368779e-06	2.89899438867277e-05	4.537752625269635
TBX3	-1.014522414190319	-0.5024101242814147	-4.643379207652215	5.493156246849518e-06	2.375316528810102e-05	4.624278509173453
TBX2	-1.014522414190319	-0.5024101242814147	-4.643379207652215	5.493156246849518e-06	2.375316528810102e-05	4.624278509173453
DEK	-0.23271278032262058	-0.016620048973163958	-4.7017633250343795	3.8135606287683166e-06	1.7079303673126677e-05	4.767529839565238
MTA2	-0.2843181600115612	0.07058208679385489	-4.732554715380717	3.454926881053692e-06	1.569738517696134e-05	4.804172685029892
SALL3	-0.865188690445708	-0.15175834678735736	-4.742525112269534	3.4113008976754122e-06	1.5612304108339296e-05	4.806532997790011
ZNF202	-0.41522528027086025	-0.08025365326830723	-4.767985967715527	3.2443189148092237e-06	1.5068058959891726e-05	4.821942689112151
PTTG1	-0.29551673033411335	-0.04829984222822542	-4.8373909274986655	2.746473204601514e-06	1.285103506929216e-05	4.8910618912604455
HEY1	-0.2822021902746132	0.06252068224618446	-4.87750049679169	1.8802178187098857e-06	8.931034638871957e-06	5.049098226226293
NRIP1	-0.5999091519389417	-0.0838140097062711	-4.940299219247035	1.5217354500330328e-06	7.396342071090788e-06	5.130983011499918
TNFAIP3	-0.36380059136048987	-0.06322416666046368	-4.956059568158028	1.5187103710480346e-06	7.396342071090788e-06	5.130983011499918
TRIB3	-0.7853578587080405	0.008268451351586265	-5.004694221309702	1.2418379048451351e-06	6.2290589307031975e-06	5.205577560415287
HDAC4	-0.1973761628465264	-0.011631214737462599	-5.048431271305845	7.807766433438588e-07	3.980056547777232e-06	5.400110757520997
TSC22D1	-0.39952494965268665	0.16130141433968717	-5.05599812904975	8.663340754927729e-07	4.380576333338457e-06	5.358468747504445
SFPQ	-0.3134532473060869	-0.02779263071743593	-5.092692203265284	7.668904219901647e-07	3.941313890064207e-06	5.4043589761229
POU2F2	-1.2504312416980832	-0.47967384774849225	-5.175803162687442	5.685348668184362e-07	2.970594679126329e-06	5.527156601184335
